Tier,Region,Country/Entity,Organization,Language,Domain,Feed_URL
1,North America,United States,CNN,English,cnn.com,https://news.google.com/rss/search?q=site%3Acnn.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,North America,United States,Fox News,English,foxnews.com,https://news.google.com/rss/search?q=site%3Afoxnews.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,North America,United States,MSNBC,English,msnbc.com,https://news.google.com/rss/search?q=site%3Amsnbc.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,North America,United States,Washington Post,English,washingtonpost.com,https://news.google.com/rss/search?q=site%3Awashingtonpost.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,North America,United States,New York Times,English,nytimes.com,https://news.google.com/rss/search?q=site%3Anytimes.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,North America,United States,Wall Street Journal,English,wsj.com,https://news.google.com/rss/search?q=site%3Awsj.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,North America,United States,Associated Press,English,apnews.com,https://news.google.com/rss/search?q=site%3Aapnews.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,North America,United States,Reuters,English,reuters.com,https://news.google.com/rss/search?q=site%3Areuters.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,North America,United States,NPR,English,npr.org,https://news.google.com/rss/search?q=site%3Anpr.org+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,North America,United States,Voice of America,English,voanews.com,https://news.google.com/rss/search?q=site%3Avoanews.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,Asia,China,CGTN,English,cgtn.com,https://news.google.com/rss/search?q=site%3Acgtn.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,Asia,China,Xinhua,English,xinhuanet.com,https://news.google.com/rss/search?q=site%3Axinhuanet.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,Asia,China,China Daily,English,chinadaily.com.cn,https://news.google.com/rss/search?q=site%3Achinadaily.com.cn+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,Asia,China,Global Times,English,globaltimes.cn,https://news.google.com/rss/search?q=site%3Aglobaltimes.cn+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,Asia,China,People's Daily,English,en.people.cn,https://news.google.com/rss/search?q=site%3Aen.people.cn+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,Asia,China,Xinhua,Chinese,xinhuanet.com,https://news.google.com/rss/search?q=site%3Axinhuanet.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=zh
1,Asia,China,People's Daily,Chinese,people.com.cn,https://news.google.com/rss/search?q=site%3Apeople.com.cn+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=zh
1,Europe,Russia,RT,English,rt.com,https://news.google.com/rss/search?q=site%3Art.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,Europe,Russia,Sputnik,English,sputniknews.com,https://news.google.com/rss/search?q=site%3Asputniknews.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,Europe,Russia,TASS,English,tass.com,https://news.google.com/rss/search?q=site%3Atass.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
1,Europe,Russia,RT,Russian,rt.com,https://news.google.com/rss/search?q=site%3Art.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=ru
1,Europe,Russia,Sputnik,Russian,sputnik.ru,https://news.google.com/rss/search?q=site%3Asputnik.ru+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=ru
1,Europe,Russia,TASS,Russian,tass.ru,https://news.google.com/rss/search?q=site%3Atass.ru+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=ru
2,Europe,European Union,Euronews,English,euronews.com,https://news.google.com/rss/search?q=site%3Aeuronews.com+-sports+-entertainment+-celebrity+-lifestyle+-health+-weather+-travel+-food+-fashion+-music+-movies+-hollywood+-gaming+-science+-culture+-arts+-obituary+-recipe+-review+-local+-business&hl=en
